,question,answer
133,<pad> question: What is the anatomy of the liver?</s>,Liver anatomy
134,<pad> question: What divides the lobes of the liver?</s>,"The portal veins divide the superior from inferior segments,
while the hepatic veins form the segmental borders in the axial plane.
The middle hepatic vein divides the left (24) from right (58) lobes of the liver"
135,<pad> question: What is the term for a hepatic iron overload?</s>,Hepatic iron overload
136,<pad> question: What is CandidiasisAbscess?</s>,Viral hepatitisCandidiasisAbscessEchinococcal disease
137,<pad> question: What is the cirrhotic liver characterized by?</s>,Fibrolamellar HCC
138,<pad> question: What is the term for hepatic lymphoma?</s>,Hepatic lymphomaEpithelioid hemangioendothelioma
139,<pad> question: What is FNH?</s>,Focal nodular hyperplasia (FNH)
140,<pad> question: What is the congenital name of the disease?</s>,BuddChiariVenoocclusive diseaseCardiac hepatopathycongenital cystic liver diseaseAutosomal dominant polycystic liver disease (ADPLD)
141,<pad> question: What type of cyst is most common?</s>,Type I choledochal cyst:
142,<pad> question: What type of cyst is a choledochal cyst?</s>,Type I choledochal cyst
143,<pad> question: What type of cysts are found in the bile duct?</s>,Caroli disease (Type V choledochal cysts)biliary anatomical variantsLow insertion of cystic ductAberrant right posterior duct
144,<pad> question: What is the name of the condition that causes sclerosing cholangitis?</s>,Acute cholecystitisPorcelain gallbladderAscending cholangitisPrimary sclerosing cholangitis (PSC)
145,<pad> question: What is the name of the disease that causes a beaded appearance to the bile ducts?</s>,Primary biliary cirrhosis (PBC)
146,<pad> question: What is the name of the disease?</s>,Recurrent pyogenic cholangitis (Oriental cholangiohepatitis)biliary neoplasiaBiliary cystadenoma
147,<pad> question: What is the name of the gallbladder cancer?</s>,Gallbladder carcinomaGallbladder metastasis
148,<pad> question: What is the name of the mucinous cystic neoplasm?</s>,cystic pancreatic epithelial neoplasmsSerous cystadenomaMucinous cystic neoplasm
149,<pad> question: What is another name for pancreatic endocrine tumors?</s>,InsulinomaGastrinomaOther pancreatic endocrine tumors
150,<pad> question: What is the crossing sign of?</s>,Pancreas divisum
151,<pad> question: What are some of the diseases that affect the pancreas?</s>,systemic diseases that affect the pancreasCystic fibrosis (CF)Schwachman–DiamondObesity and exogenous steroid use
152,<pad> question: What is the name of the acute pancreatitis?</s>,Intrapancreatic accessory spleenPancreatitis
153,<pad> question: What is the term for chronic pancreatitis?</s>,Autoimmune pancreatitis
154,<pad> question: What is a polysplenia syndrome?</s>,congenital splenic variations and anomaliesSplenule (accessory spleen)Polysplenia syndromeWandering spleen
155,<pad> question: What is the term for a splenic hemangioma?</s>,HemangiomaHamartoma
156,<pad> question: What is the name of the splenic epithelial cyst?</s>,Post-traumatic pseudocystIntrasplenic pancreatic pseudocystLymphangioma
157,<pad> question: What is the name of the disease that causes a splenic infarct?</s>,SarcoidosisInflammatory pseudotumorsplenic infectionPyogenic abscessFungal abscessEchinococcal cystSplenic lymphomaSplenic metastasisAngiosarcomaSplenic infarctGamnaGandy bodiesGaucher disease
158,<pad> question: What is the AAST's grading system?</s>,Overview of splenic trauma
159,<pad> question: What is the name of the ring that shows a narrowing at the gastroesophageal junction?</s>,AnatomySchatzki ring
160,<pad> question: What is the esophagitis associated with?</s>,Reflux (peptic) esophagitisBarrett esophagusInfectious esophagitisMedication esophagitisCrohn esophagitis
161,<pad> question: What is a possible cause of mediastinal adenopathy?</s>,Peptic strictureBarrett esophagus strictureMalignant stricture (due to esophageal carcinoma)Radiation strictureExtrinsic compression from mediastinal adenopathy
162,<pad> question: What type of cancer is a common occurrence?</s>,Mesenchymal tumorAdenomaFibrovascular polypVaricesForegut duplication cystsEsophageal foreign bodyEsophageal carcinoma
163,<pad> question: What is the term for a type of esophageal carcinoma?</s>,MetastasisLymphoma
164,<pad> question: What is the name of the aortic branching anomaly?</s>,Scleroderma
165,<pad> question: What is a gastrointestinal tumor?</s>,thickened gastric foldsHelicobacter pylori gastritisEosinophilic gastritisHyperplastic polyp (inflammatory polyp)Adenomatous polypbenign gastric massesGastrointestinal stromal tumor (GIST)
166,<pad> question: What is the name of the condition that is characterized by a pancreatic rest?</s>,Ectopic pancreatic rest
167,<pad> question: What is a malignant gastric ulcer?</s>,Gastric cancerGIST (malignant)Gastric ulcersBenign gastric ulcerGastric carcinoma
168,<pad> question: What is the name of the bowel obstruction that is caused by a gastric fistula?</s>,Postoperative leakGastrogastric fistulaSmall bowel obstruction (SBO)Internal herniaStomal stenosisMarginal ulcerssmall bowel obstruction (sbo)
169,<pad> question: What is the arrow in the CT?</s>,Closed loop obstructionObstruction due to adhesions
170,<pad> question: What is the cause of small bowel obstruction?</s>,Obstruction due to internal herniaObstruction due to intussusceptionObstruction due to Crohn diseaseObstruction due to gallstone
171,<pad> question: What is the name of the disease that causes the colon to thicken?</s>,Radiation enteritisWhipple diseaseGraft versus host disease (GVHD)colitisIschemic colitisInfectious colitisPseudomembranous colitis
172,<pad> question: What is the name of the type of diverticulitis?</s>,Typhlitis (neutropenic enterocolitis)Peutz–JeghersCowden syndromeCronkhite–CanadaAppendicitis
173,<pad> question: What is the term for the mesentery?</s>,Mesentery“Misty” mesentery
174,<pad> question: What type of cancer is the patient diagnosed with?</s>,Carcinoid
175,<pad> question: What is the term for a tumor that is metastatic to the mesentery?</s>,Desmoid tumor
176,<pad> question: What is the cause of the ovarian cancer?</s>,Mesenteric metastases and lymphomaPeritoneal carcinomatosis
177,<pad> question: What is the name of the spleen that is a part of the pancreas?</s>,Pancreaticobiliary:
178,<pad> question: What part of the body is a child born with?</s>,Spleen:
179,<pad> question: What two areas of the body are referred to as 'esophagus and stomach'?</s>,Esophagus and Stomach:
180,"<pad> question: What two areas of the peritoneum are referred to as ""Misty Mesentery""?</s>",Peritoneum and Mesentery:
181,<pad> question: What compartments of the retroperitoneum are there?</s>,"3 compartments of the retroperitoneumLiposarcomaRetroperitoneal fibrosis
HII‘_-_.|__H (cid:191) __I|_I“_|_1l|__r___I_II-_r-‘__I|_mFJIIIIIWIHII‘"
182,<pad> question: What is the subject of the adrenal cortex?</s>,Anatomy
183,<pad> question: What type of adenoma is MRI used for?</s>,Adrenal adenoma
184,<pad> question: What is the name of the cyst in the adrenal gland?</s>,Adrenal cyst
185,<pad> question: What is the name of the adrenal hemorrhage?</s>,Adrenal cortical carcinomaAdrenal hemorrhage
186,<pad> question: What is a renal mass biopsy?</s>,Diagnostic approach to a renal mass
187,<pad> question: What is the stage 3A of renal cell carcinoma?</s>,Renal cell carcinoma (RCC)
188,<pad> question: What is the name of the disease that is associated with rcc?</s>,Renal lymphomaNon-neoplastic solid renal massessyndromes with renal masses (all have increased risk of rcc)von Hippel–Lindau (VHL)Birt–Hogg–Dube
189,<pad> question: What is the name of the condition that causes renal abscesses?</s>,PyonephrosisRenal abscessEmphysematous pyelonephritisXanthogranulomatous pyelonephritis
190,<pad> question: What is the cause of the enlarged right kidney?</s>,Renal tuberculosis
191,<pad> question: What is the name of the condition that causes a delayed nephrogram?</s>,Papillary necrosisDelayed (prolonged) nephrogramMedullary nephrocalcinosisrenal trauma
192,<pad> question: What is the ureteral filling defect?</s>,overview of ureteral imaging
193,<pad> question: What is the name of the ureteral malignancy that is the primary concern?</s>,Ureteritis cysticaLeukoplakia (squamous metaplasia)Malacoplakia
194,<pad> question: What is the ureter terminating within?</s>,Ureterocele
195,<pad> question: What is the name of the cancer of the bladder?</s>,Bladder stonesBladder transitional cell carcinoma (TCC)Bladder adenocarcinoma
196,<pad> question: What is the diagnosis of intraperitoneal bladder rupture?</s>,Extraperitoneal bladder rupture
197,<pad> question: What is the focus of the tumor entirely confined within the gland?</s>,Prostate cancer
198,<pad> question: What is the uterine anatomy?</s>,uterine anatomyNormal T 2 zonal anatomyAdenomyosis
199,<pad> question: What is the stage IB of the cancer?</s>,Endometrial carcinoma
200,<pad> question: What is the stage IIB of the cancer?</s>,Cervical carcinoma
201,<pad> question: What is the name of the uterus that is a septate?</s>,Septate uterus
202,<pad> question: What is another name for septate uterus?</s>,Bicornuate uterus
203,<pad> question: What is the term for a cystic teratoma?</s>,EndometriosisMature cystic teratoma
204,<pad> question: What is the name of the book that describes the history of renal tumors?</s>,General Reference:
205,<pad> question: What part of the body is radiologist of?</s>,Retroperitoneal:
206,<pad> question: What part of the body is scanned for imaging?</s>,Urethra:
207,<pad> question: What is the name of the MRI of the pelvis?</s>,Female Pelvis MRI:
208,<pad> question: What is the name of the massa intermedia?</s>,[STARTUP]
209,<pad> question: What is the term for a downward uncal herniation?</s>,Subfalcine herniationTranstentorial (uncal) herniation
210,<pad> question: What is the name of the cisterns?</s>,Cerebellar tonsillar herniationHydrocephalusIntraaxial and extraaxial compartmentsbasal cisterns
211,<pad> question: What is the cleft in the brain mass?</s>,Approach to evaluation of a focal brain lesion
212,<pad> question: What type of cells are present in the body?</s>,Glial cells
213,<pad> question: What is the name of the lesion that is characterized by a large posterior fossa cystic lesion?</s>,Juvenile pilocytic astrocytoma (JPA)
214,<pad> question: What is the name of the lesion that shows mild T 2 prolongation?</s>,Fibrillary astrocytomaLow-grade astrocytoma
215,<pad> question: What is the term for a glioblastoma?</s>,Glioblastoma multiforme (GBM)
216,<pad> question: What is the name of the lesion that is a slow growing lesion?</s>,Gliomatosis cerebriOligodendroglioma
217,<pad> question: What type of tumor is hemangioblastoma?</s>,nonglioma primary brain tumorsEmbryonal tumorsAtypical teratoid/rhabdoid tumor (ATRT)
218,<pad> question: What is PXA?</s>,Pleomorphic xanthoastrocytoma (PXA)Central neurocytoma
219,<pad> question: What is the name of the disease that is asymptomatic of choroid plexus papilloma?</s>,Intraventricular meningioma
220,<pad> question: What is the term for a tumor that is not a normal size?</s>,Subependymoma
221,<pad> question: What is another type of CNS lymphoma?</s>,Primary CNS lymphoma: Immunocompromised patientSecondary CNS lymphomaMetastatic disease to the brainIntraaxial metastasisMeningiomaDural metastasisSchwannoma
222,<pad> question: What is the name of the arachnoid cyst?</s>,Arachnoid cystAneurysm
223,<pad> question: What is the name of the lobulated mass in the left cerebellopontine angle?</s>,Intraaxial neoplasm
224,<pad> question: What is the name of the tumor that is a normal hamartoma?</s>,Pituitary microadenomaPituitary macroadenomaLymphocytic hypophysitisGranulomatous hypophysitisCraniopharyngiomaMeningiomaGerminomaEpidermoid and dermoid cystsAneurysmMetastasesLymphoma
225,<pad> question: What is a rare form of a hemorrhagic pineal cyst?</s>,Germ cell tumorPineal cystPineocytomaPineoblastoma
226,<pad> question: What is the cause of the axonal injury?</s>,Vein of Galen aneurysmMeningiomaQuadrigeminal plate lipomaExtraaxial hemorrhageSubarachnoid hemorrhage (SAH)Epidural hematomaSubdural hematomaIntraventricular hemorrhageCortical contusionIntraparenchymal hematoma
227,<pad> question: What type of fractures are there?</s>,Zygomaticomaxillary complex fracturesLe Fort fractures
228,<pad> question: What is the most common type of imaging of stroke?</s>,Imaging of stroke
229,<pad> question: What is a high flow lesions?</s>,High-flow lesions (lesions with shunting)Dural arteriovenous fistula (d AVF)
230,<pad> question: What is the name of the axial CT image?</s>,Perimesencephalic subarachnoid hemorrhage
231,<pad> question: What is the morphology of an aneurysm?</s>,Aneurysm morphology and pathologySaccular aneurysmFusiform aneurysmMycotic (infectious) aneurysmOncotic aneurysmTraumatic pseudoaneurysm
232,<pad> question: What is a typical pattern of infarction seen with?</s>,Venous thrombosis
233,<pad> question: What is the name of the disease that can be seen on T2 images?</s>,Hypertensive hemorrhageCerebral amyloid angiopathy (CAA)Arteriovenous malformation (AVM)Dural AV fistula (d AVF)Venous thrombosisHemorrhagic neoplasmHemorrhagic transformation of infarctVasculitisMoyamoya
234,<pad> question: What is the name of the disease that causes progressive multifocal leukoencephalopathy?</s>,Marburg variant (acute multiple sclerosis)Devic disease (Neuromyelitis optica)toxicmetabolic white matter diseaseMarchiafava–BignamiWernicke encephalopathyVascular white matter diseaseVasculitisMicroangiopathyInfectious (viral) white matter diseaseProgressive multifocal leukoencephalopathy (PML)
235,<pad> question: What is the name of the disease?</s>,Acute disseminated encephalomyelitis (ADEM)Iatrogenic white matter diseaseRadiation injury
236,<pad> question: What is the name of the infection that causes the edema to spread?</s>,Pyogenic abscessLyme diseaseFungal infectionCryptococcusParasitic infectionNeurocysticercosis
237,<pad> question: What is the name of the disease that causes CJD?</s>,Herpes encephalitisHIV encephalopathyCytomegalovirus (CMV) encephalitisCreutzfeldt–Jakob disease (CJD)
238,<pad> question: What is the cause of hypoxic ischemic encephalopathy?</s>,Methanol poisoning
239,<pad> question: What is the facial anatomy of the fl oor of the mouth?</s>,Anatomy
240,<pad> question: What is the TDC?</s>,Peritonsillar abscessLemierre syndromeBezold abscessRanulaDermoid/epidermoidThyroglossal duct cyst (TDC)
241,<pad> question: What is the name of the cyst in the second branchial cleft cyst?</s>,solitary parotid region cystic lesion
242,<pad> question: What other neck lesions are there?</s>,other neck cystic lesionsLymphatic malformationsMiscellaneous neck lesionsLingual thyroid
243,<pad> question: What is the cause of the fracture of the thyroid cartilage?</s>,Vocal cord paralysisLaryngoceleLaryngeal cancerLaryngeal trauma
244,<pad> question: What is the name of the invasive fungal sinusitis?</s>,sinonasal diseaseAcute sinusitisChronic sinusitisOrbital complications of sinusitisIntracranial complications of sinusitisBony complications of sinusitisMucus retention cystAcute invasive fungal sinusitisAntrochoanal polyp
245,<pad> question: What is the name of the condition in which the left frontal sinus is not expanded?</s>,Inverted papilloma
246,<pad> question: What is the name of the disease that causes Sjögren syndrome?</s>,Pleomorphic adenomaWarthin tumorMucoepidermoid carcinomaAdenoid cystic carcinomaCarcinoma ex pleomorphic adenomaSquamous cell carcinomaInflammatory salivary diseaseSarcoidosisHIV lymphoepithelial lesions
247,<pad> question: What is a nasopharyngeal angiofibroma?</s>,Olfactory groove meningioma
248,<pad> question: What is a cholesterol cyst?</s>,Facial nerve schwannomaCholesterol granuloma (cholesterol cyst)
249,<pad> question: What is the focus of d WI hyperintensity in the left middle ear?</s>,"Coronal diffusion weighted image shows a focus
of d WI hyperintensity in the left middle ear.
diffusion was restricted when correlated with
the Ad C map (not shown)."
250,<pad> question: What is the term for a labyrinthitis?</s>,LabyrinthitisLongitudinal temporal bone fractureTransverse temporal bone fracture
251,<pad> question: What is the name of the chordoma?</s>,Chordoma
252,<pad> question: What is the name of the disease that affects the clival marrow?</s>,ChordomaChondrosarcomaMetastasisClival chordoma:
253,<pad> question: What is the name of the glomus jugulare that has spread into the middle ear?</s>,Glomus jugulareGlomus tympanicum
